Data;hora;preciptacao;temperatura;humidade
01/01/2022;0000 UTC;;20,8;88
01/01/2022;0100 UTC;;20,8;90
01/01/2022;0200 UTC;;20,4;91
01/01/2022;0300 UTC;;20;92
01/01/2022;0400 UTC;;19,7;93
01/01/2022;0500 UTC;;19,5;93
01/01/2022;0600 UTC;;19,5;93
01/01/2022;0700 UTC;;19,4;93
01/01/2022;0800 UTC;;20,3;93
01/01/2022;0900 UTC;;19,9;92
01/01/2022;1000 UTC;;21,1;92
01/01/2022;1100 UTC;;22,5;83
01/01/2022;1200 UTC;;23,1;80
01/01/2022;1300 UTC;;22,1;90
01/01/2022;1400 UTC;;21,4;92
01/01/2022;1500 UTC;;21,8;91
01/01/2022;1600 UTC;;22,4;88
01/01/2022;1700 UTC;;23,6;81
01/01/2022;1800 UTC;;21,9;90
01/01/2022;1900 UTC;;23,6;80
01/01/2022;2000 UTC;;23,2;83
01/01/2022;2100 UTC;;23;80
01/01/2022;2200 UTC;;22,2;84
01/01/2022;2300 UTC;;22;86
02/01/2022;0000 UTC;;21,7;88
02/01/2022;0100 UTC;;21,1;90
02/01/2022;0200 UTC;;21,1;88
02/01/2022;0300 UTC;;21;89
02/01/2022;0400 UTC;;20,4;90
02/01/2022;0500 UTC;;19,8;92
02/01/2022;0600 UTC;;20,3;91
02/01/2022;0700 UTC;;20,4;92
02/01/2022;0800 UTC;;20,8;91
02/01/2022;0900 UTC;;20,8;92
02/01/2022;1000 UTC;;21,9;90
02/01/2022;1100 UTC;;23,4;81
02/01/2022;1200 UTC;;24,6;72
02/01/2022;1300 UTC;;24,4;76
02/01/2022;1400 UTC;;27,1;66
02/01/2022;1500 UTC;;27,1;62
02/01/2022;1600 UTC;;26,2;71
02/01/2022;1700 UTC;;24,9;79
02/01/2022;1800 UTC;;23,6;80
02/01/2022;1900 UTC;;23,5;76
02/01/2022;2000 UTC;;24,6;72
02/01/2022;2100 UTC;;24,4;75
02/01/2022;2200 UTC;;23;81
02/01/2022;2300 UTC;;22,4;84
03/01/2022;0000 UTC;;22;87
03/01/2022;0100 UTC;;21,8;86
03/01/2022;0200 UTC;;21,3;88
03/01/2022;0300 UTC;;20,6;90
03/01/2022;0400 UTC;;20,9;91
03/01/2022;0500 UTC;;21;90
03/01/2022;0600 UTC;;20,7;90
03/01/2022;0700 UTC;;20,5;91
03/01/2022;0800 UTC;;20,5;91
03/01/2022;0900 UTC;;21;90
03/01/2022;1000 UTC;;22;87
03/01/2022;1100 UTC;;24,3;78
03/01/2022;1200 UTC;;25,3;71
03/01/2022;1300 UTC;;26,1;69
03/01/2022;1400 UTC;;26,1;67
03/01/2022;1500 UTC;;27,8;62
03/01/2022;1600 UTC;;29,3;57
03/01/2022;1700 UTC;;28,5;53
03/01/2022;1800 UTC;;29;56
03/01/2022;1900 UTC;;28;57
03/01/2022;2000 UTC;;27,2;61
03/01/2022;2100 UTC;;24,9;69
03/01/2022;2200 UTC;;23,4;79
03/01/2022;2300 UTC;;23,2;77
04/01/2022;0000 UTC;;23,3;78
04/01/2022;0100 UTC;;22,5;83
04/01/2022;0200 UTC;;22,2;87
04/01/2022;0300 UTC;;21,7;88
04/01/2022;0400 UTC;;21,5;89
04/01/2022;0500 UTC;;21,4;91
04/01/2022;0600 UTC;;21,3;90
04/01/2022;0700 UTC;;20,8;91
04/01/2022;0800 UTC;;20,8;91
04/01/2022;0900 UTC;;20,6;91
04/01/2022;1000 UTC;;22;86
04/01/2022;1100 UTC;;24,7;76
04/01/2022;1200 UTC;;25;74
04/01/2022;1300 UTC;;26,1;70
04/01/2022;1400 UTC;;27,3;65
04/01/2022;1500 UTC;;26,8;64
04/01/2022;1600 UTC;;25,8;64
04/01/2022;1700 UTC;;26,6;60
04/01/2022;1800 UTC;;28,2;53
04/01/2022;1900 UTC;;28,1;51
04/01/2022;2000 UTC;;27,2;50
04/01/2022;2100 UTC;;26,6;58
04/01/2022;2200 UTC;;25,2;64
04/01/2022;2300 UTC;;24,5;70
05/01/2022;0000 UTC;;23,9;74
05/01/2022;0100 UTC;;23,4;78
05/01/2022;0200 UTC;;23,1;80
05/01/2022;0300 UTC;;22,3;84
05/01/2022;0400 UTC;;21,4;88
05/01/2022;0500 UTC;;20,9;90
05/01/2022;0600 UTC;;21,4;89
05/01/2022;0700 UTC;;21,2;90
05/01/2022;0800 UTC;;21;90
05/01/2022;0900 UTC;;21,2;90
05/01/2022;1000 UTC;;22;84
05/01/2022;1100 UTC;;24;73
05/01/2022;1200 UTC;;24,7;70
05/01/2022;1300 UTC;;26,8;69
05/01/2022;1400 UTC;;26,1;63
05/01/2022;1500 UTC;;28,8;53
05/01/2022;1600 UTC;;29,1;53
05/01/2022;1700 UTC;;29;49
05/01/2022;1800 UTC;;30,6;46
05/01/2022;1900 UTC;;28,7;58
05/01/2022;2000 UTC;;28,5;55
05/01/2022;2100 UTC;;27,1;60
05/01/2022;2200 UTC;;24,7;70
05/01/2022;2300 UTC;;23,9;77
06/01/2022;0000 UTC;;23;86
06/01/2022;0100 UTC;;22,4;90
06/01/2022;0200 UTC;;22,2;91
06/01/2022;0300 UTC;;22,1;90
06/01/2022;0400 UTC;;21,9;91
06/01/2022;0500 UTC;;21,6;91
06/01/2022;0600 UTC;;21,7;91
06/01/2022;0700 UTC;;21,5;90
06/01/2022;0800 UTC;;21;90
06/01/2022;0900 UTC;;20,6;92
06/01/2022;1000 UTC;;22,2;85
06/01/2022;1100 UTC;;23,4;80
06/01/2022;1200 UTC;;25,3;72
06/01/2022;1300 UTC;;26,1;68
06/01/2022;1400 UTC;;28;63
06/01/2022;1500 UTC;;26,1;76
06/01/2022;1600 UTC;;26,3;70
06/01/2022;1700 UTC;;24,9;84
06/01/2022;1800 UTC;;26,9;67
06/01/2022;1900 UTC;;27,7;62
06/01/2022;2000 UTC;;23,6;88
06/01/2022;2100 UTC;;23,7;88
06/01/2022;2200 UTC;;22,2;89
06/01/2022;2300 UTC;;21,9;92
07/01/2022;0000 UTC;;21,9;91
07/01/2022;0100 UTC;;21,5;91
07/01/2022;0200 UTC;;21,3;93
07/01/2022;0300 UTC;;21,6;93
07/01/2022;0400 UTC;;21,7;93
07/01/2022;0500 UTC;;21,7;92
07/01/2022;0600 UTC;;21,8;92
07/01/2022;0700 UTC;;21,7;90
07/01/2022;0800 UTC;;21,7;89
07/01/2022;0900 UTC;;21,9;85
07/01/2022;1000 UTC;;21,6;90
07/01/2022;1100 UTC;;21,7;91
07/01/2022;1200 UTC;;21,7;92
07/01/2022;1300 UTC;;22,6;90
07/01/2022;1400 UTC;;22,4;90
07/01/2022;1500 UTC;;22,6;90
07/01/2022;1600 UTC;;22,9;91
07/01/2022;1700 UTC;;23,1;88
07/01/2022;1800 UTC;;24,6;82
07/01/2022;1900 UTC;;24,7;77
07/01/2022;2000 UTC;;25,2;72
07/01/2022;2100 UTC;;24,2;77
07/01/2022;2200 UTC;;23,2;81
07/01/2022;2300 UTC;;22,1;88
08/01/2022;0000 UTC;;21,9;90
08/01/2022;0100 UTC;;21,8;90
08/01/2022;0200 UTC;;21,9;88
08/01/2022;0300 UTC;;21,8;90
08/01/2022;0400 UTC;;21,8;89
08/01/2022;0500 UTC;;20;92
08/01/2022;0600 UTC;;19,8;93
08/01/2022;0700 UTC;;19,6;93
08/01/2022;0800 UTC;;19,7;93
08/01/2022;0900 UTC;;19,7;93
08/01/2022;1000 UTC;;20,4;93
08/01/2022;1100 UTC;;21,2;90
08/01/2022;1200 UTC;;22,3;89
08/01/2022;1300 UTC;;23,7;86
08/01/2022;1400 UTC;;21,9;90
08/01/2022;1500 UTC;;23;91
08/01/2022;1600 UTC;;21,6;91
08/01/2022;1700 UTC;;22;92
08/01/2022;1800 UTC;;22,1;91
08/01/2022;1900 UTC;;22,2;90
08/01/2022;2000 UTC;;22,6;87
08/01/2022;2100 UTC;;22,9;87
08/01/2022;2200 UTC;;21,9;89
08/01/2022;2300 UTC;;21,8;91
09/01/2022;0000 UTC;;21,5;92
09/01/2022;0100 UTC;;21,6;92
09/01/2022;0200 UTC;;21,5;92
09/01/2022;0300 UTC;;21,3;92
09/01/2022;0400 UTC;;21,1;92
09/01/2022;0500 UTC;;21;93
09/01/2022;0600 UTC;;21,1;93
09/01/2022;0700 UTC;;21;93
09/01/2022;0800 UTC;;21;93
09/01/2022;0900 UTC;;20,8;93
09/01/2022;1000 UTC;;21,1;93
09/01/2022;1100 UTC;;21,4;93
09/01/2022;1200 UTC;;22,3;92
09/01/2022;1300 UTC;;22,5;90
09/01/2022;1400 UTC;;23;89
09/01/2022;1500 UTC;;23,2;87
