Data;hora;preciptacao;temperatura;humidade
01/01/2023;0000 UTC;0;21,1;89
01/01/2023;0100 UTC;0;21,1;90
01/01/2023;0200 UTC;0;20,7;92
01/01/2023;0300 UTC;0;20,7;92
01/01/2023;0400 UTC;0;20,5;92
01/01/2023;0500 UTC;0;19,9;92
01/01/2023;0600 UTC;0;20;93
01/01/2023;0700 UTC;0,2;19,6;93
01/01/2023;0800 UTC;0;19,5;93
01/01/2023;0900 UTC;0;19,5;93
01/01/2023;1000 UTC;0;20,6;92
01/01/2023;1100 UTC;0;21,8;88
01/01/2023;1200 UTC;0;22,9;82
01/01/2023;1300 UTC;0;25,1;74
01/01/2023;1400 UTC;0;26,9;66
01/01/2023;1500 UTC;0;28,9;58
01/01/2023;1600 UTC;0;29,6;54
01/01/2023;1700 UTC;0;30,9;46
01/01/2023;1800 UTC;0;31,3;43
01/01/2023;1900 UTC;0;28,8;51
01/01/2023;2000 UTC;0;30,5;44
01/01/2023;2100 UTC;0;28,4;47
01/01/2023;2200 UTC;0;26,5;59
01/01/2023;2300 UTC;0;25;71
02/01/2023;0000 UTC;0;25;73
02/01/2023;0100 UTC;0;25;67
02/01/2023;0200 UTC;0;23,8;69
02/01/2023;0300 UTC;0;22,7;75
02/01/2023;0400 UTC;0;22,3;78
02/01/2023;0500 UTC;0;22,2;80
02/01/2023;0600 UTC;4,4;21,1;90
02/01/2023;0700 UTC;0,2;21,1;92
02/01/2023;0800 UTC;0;20,9;92
02/01/2023;0900 UTC;0;20,7;92
02/01/2023;1000 UTC;0;21,7;93
02/01/2023;1100 UTC;0;23,2;80
02/01/2023;1200 UTC;0;24,3;75
02/01/2023;1300 UTC;0;25,7;70
02/01/2023;1400 UTC;0;28,1;58
02/01/2023;1500 UTC;0;29,7;58
02/01/2023;1600 UTC;0;30,9;51
02/01/2023;1700 UTC;0;28,6;56
02/01/2023;1800 UTC;0;25,8;68
02/01/2023;1900 UTC;0;24,9;71
02/01/2023;2000 UTC;0;24,3;68
02/01/2023;2100 UTC;0;23,9;73
02/01/2023;2200 UTC;0;23;79
02/01/2023;2300 UTC;0;23,3;80
03/01/2023;0000 UTC;0;22,8;70
03/01/2023;0100 UTC;13,8;20,5;91
03/01/2023;0200 UTC;0,4;20,5;92
03/01/2023;0300 UTC;0;20,2;92
03/01/2023;0400 UTC;0,2;20,3;92
03/01/2023;0500 UTC;0;20,4;92
03/01/2023;0600 UTC;0;20,3;93
03/01/2023;0700 UTC;0;20,5;93
03/01/2023;0800 UTC;1,6;20,4;93
03/01/2023;0900 UTC;0,6;20,3;93
03/01/2023;1000 UTC;0;20,8;93
03/01/2023;1100 UTC;0;21,2;91
03/01/2023;1200 UTC;0;22,9;84
03/01/2023;1300 UTC;0;26;69
03/01/2023;1400 UTC;0;27,4;62
03/01/2023;1500 UTC;0;28,4;62
03/01/2023;1600 UTC;1;21,3;87
03/01/2023;1700 UTC;0;22,9;86
03/01/2023;1800 UTC;0;23,5;77
03/01/2023;1900 UTC;0,2;23,3;82
03/01/2023;2000 UTC;0,4;23;86
03/01/2023;2100 UTC;0;23,3;84
03/01/2023;2200 UTC;0;22,2;88
03/01/2023;2300 UTC;0,8;22;90
04/01/2023;0000 UTC;0;21,4;91
04/01/2023;0100 UTC;0;21,3;92
04/01/2023;0200 UTC;0;21;92
04/01/2023;0300 UTC;0;20,3;92
04/01/2023;0400 UTC;0,2;19,8;93
04/01/2023;0500 UTC;0;19,6;93
04/01/2023;0600 UTC;0;19,3;93
04/01/2023;0700 UTC;0;19,5;93
04/01/2023;0800 UTC;0,2;19,9;93
04/01/2023;0900 UTC;0,2;20,2;93
04/01/2023;1000 UTC;0;21;93
04/01/2023;1100 UTC;5,6;20,3;92
04/01/2023;1200 UTC;3,6;21,1;92
04/01/2023;1300 UTC;0,2;22,1;90
04/01/2023;1400 UTC;0;23,4;85
04/01/2023;1500 UTC;0;25,2;73
04/01/2023;1600 UTC;0;26,3;65
04/01/2023;1700 UTC;0;25,6;69
04/01/2023;1800 UTC;8,4;22,5;91
04/01/2023;1900 UTC;0;23,5;80
04/01/2023;2000 UTC;0;25,5;68
04/01/2023;2100 UTC;0;24,2;72
04/01/2023;2200 UTC;0;23,1;77
04/01/2023;2300 UTC;0;22,4;82
05/01/2023;0000 UTC;0;22,3;83
05/01/2023;0100 UTC;0,4;22,1;85
05/01/2023;0200 UTC;1;20,8;89
05/01/2023;0300 UTC;0,2;20,5;91
05/01/2023;0400 UTC;0,6;20,2;91
05/01/2023;0500 UTC;0,2;20,2;91
05/01/2023;0600 UTC;0;20,1;92
05/01/2023;0700 UTC;0;20,1;92
05/01/2023;0800 UTC;0;19,9;92
05/01/2023;0900 UTC;0;19,9;92
05/01/2023;1000 UTC;0;21,2;89
05/01/2023;1100 UTC;0;22,7;81
05/01/2023;1200 UTC;0;23,6;75
05/01/2023;1300 UTC;0;25,4;67
05/01/2023;1400 UTC;;;
05/01/2023;1500 UTC;;;
05/01/2023;1600 UTC;0;26,9;59
05/01/2023;1700 UTC;0,4;26,8;61
